Class,gene_18517,gene_18518,gene_18519,gene_18520,gene_18521,gene_18522,gene_18523,gene_18524,gene_18525,gene_18526,gene_18527,gene_18528,gene_18529,gene_13429,gene_18897,gene_3434,gene_3435,gene_3436,gene_3437,gene_3438,gene_3439,gene_3440,gene_3441,gene_3442,gene_3443,gene_6876,gene_7929,gene_11348,gene_14317,gene_14318,gene_15430,gene_15431,gene_15432,gene_5297,gene_5298,gene_5299,gene_5300,gene_5301,gene_5302,gene_5303,gene_14983,gene_14984,gene_14985,gene_14986,gene_19238,gene_11355,gene_11806,gene_14828,gene_4442,gene_10558,gene_10559,gene_10560,gene_10561,gene_10562,gene_10563,gene_10564,gene_1136,gene_1137,gene_978,gene_979,gene_5235,gene_5236,gene_5237,gene_19874,gene_2858,gene_2859,gene_2860,gene_2861,gene_2862,gene_2863,gene_2864,gene_2865,gene_2866,gene_2867,gene_2868,gene_2869,gene_2870,gene_2871,gene_2872,gene_2873,gene_2874,gene_2875,gene_2876,gene_2877,gene_2878,gene_2879,gene_2880,gene_2881,gene_2882,gene_2883,gene_2884,gene_5020,gene_17769,gene_8971,gene_7752,gene_5047,gene_6535,gene_13574,gene_6552,gene_7432,gene_14752,gene_4316
PRAD,4.189294815,9.611996721,8.821356257,10.96043641,9.862829497,9.156174111,10.5615839,10.39226375,9.331082644,10.25469796,0,0,10.01696146,6.878308459,5.242606317,3.5422952,8.859662123,2.924670008,8.289562459,5.14920245,3.266291818,3.188163516,1.010278567,3.773880314,12.4566881,8.440399956,5.720549356,2.338338835,7.748327048,10.58273475,5.814550423,6.872077673,5.042241587,12.79641687,7.463328186,9.933369037,9.923608271,10.99633931,7.471593934,8.987687519,6.36897957,4.341409408,6.951074853,5.927052581,2.338338835,3.5422952,0,6.210047867,4.377061263,10.53503231,12.36423864,11.07712948,10.01907638,9.504288677,6.042556793,9.976850486,4.827127991,11.14558193,10.58892072,9.604497633,13.84704756,8.675085509,10.34747742,6.795104556,3.826406117,4.479010621,8.048328836,6.678508592,2.185898253,0.59187087,6.612747623,11.11740934,1.334282225,0,3.01795753,8.227447479,4.445819385,4.902454709,7.351292632,6.720743599,8.251652826,5.462978253,3.340391357,0,0,8.399820502,0,3.01795753,0,0,9.902358532,8.139367167,11.33450794,9.082508339,10.2831694,7.939279479,15.1570903,12.42084448,4.106767062,3.719369653,0,3.973381675
LUAD,0.811142174,10.07485059,10.4553375,11.4928396,9.076863686,10.94282236,8.135447654,9.019284922,8.312524505,8.290673212,0,0.53126916,11.86285816,9.02068276,6.128159338,0,9.279053359,1.004393523,5.148075877,6.872877997,0.323658291,0.811142174,0.587845009,0,13.21353411,6.484408853,7.277845305,8.924634382,7.948314663,10.31026058,5.095979258,3.007679907,1.913339435,12.69751278,4.749915003,10.4069809,9.409106612,11.00241421,6.025445237,6.740010073,3.052102836,7.514532596,7.44126767,2.466601019,0.587845009,12.18634641,0,5.508425483,4.383393259,10.68178305,10.62002733,10.81793498,10.00946475,7.524424179,5.722851238,9.395699067,0.587845009,4.951004892,11.17837852,10.31653045,12.74971233,7.885250991,11.76083636,6.218108864,1.465034122,0,4.962687826,2.707856051,2.707856051,2.865542754,0.587845009,5.256471016,7.670507547,0,8.401062963,7.291806128,0.587845009,4.853960727,7.716092359,2.914487986,8.335175944,2.25486611,0,0,0.587845009,2.592277624,0.323658291,1.174789893,0,0,11.06709819,5.891268493,5.945268244,10.07586685,9.591843948,7.77691988,14.88214627,13.78808615,1.913339435,4.434628228,0,1.590817563
PRAD,1.507160349,9.088862425,10.74728669,12.10367466,8.90480018,5.814399174,10.19756074,8.06495289,8.650768149,9.404194251,0.452595435,0,10.48997838,10.23642086,7.642268352,0,5.696330514,0.452595435,7.303579853,0.796597754,0,3.452766735,0,5.940941932,13.20766107,3.352235919,2.785738854,0,8.172052409,10.52791679,1.3068455,9.649635217,3.59153581,12.96729292,1.683022665,10.79624245,10.45290014,10.66520266,7.58128345,8.979370888,3.546746325,6.332613063,5.567734047,0.452595435,2.228018254,1.83975808,0,8.054994953,2.533663013,10.00733568,11.5996107,9.597749037,10.25089054,7.603322197,7.132278649,9.440607591,0.452595435,6.215878526,11.42558309,10.78934616,12.05040306,9.926424986,8.997165364,9.677169939,1.3068455,0,3.865819861,9.428314106,0.452595435,0,0,5.270020546,0.796597754,0.452595435,0.452595435,6.00856084,1.3068455,3.186960042,7.252201803,3.127369147,8.10798073,1.507160349,0.452595435,0,0,5.078776329,0,0,0,0,10.94738125,5.522187605,12.52050328,10.73953592,9.981624361,8.026733676,11.02086191,12.90315504,0,5.696330514,0,0
PRAD,1.637239266,10.27654319,10.12933454,12.52154155,8.496785884,8.323842903,13.2580124,11.69718044,9.295176585,9.986069563,0,0,10.2316532,8.223837613,5.924430109,4.555484886,8.523236529,2.175652338,7.644671082,5.804239461,0,1.464093165,0,0,14.70467099,5.967242401,7.368820721,2.058697469,8.550565956,10.50710087,4.419795048,3.573556306,2.728704197,13.62989161,5.23213116,11.0444556,10.35032044,11.72982464,8.012116084,8.883862101,7.992320917,7.143270957,4.132091476,1.931418318,1.039419183,4.965964322,0,5.610091725,3.342910255,10.72666946,11.37864167,9.78731655,10.36616919,8.539693905,6.451875423,9.455567649,0.768586635,10.58383495,11.48923082,10.69118517,13.07650665,8.978455928,10.73353229,8.166700383,1.267356012,1.791814071,6.768171089,9.79875853,1.464093165,0,5.373502055,10.12434106,1.039419183,0,3.23924527,9.907916648,1.931418318,3.006441658,5.479683273,5.900840248,8.381292026,5.681055647,0,0,0,5.56791958,0,1.791814071,0,0,10.43340809,9.450499894,11.34645279,10.50500763,10.63707766,9.401060829,12.76503948,13.68495677,2.478531813,3.696093997,0,1.039419183
BRCA,4.128276902,10.88914648,11.23153921,12.14294945,9.001143559,7.501670022,11.14145578,9.244366214,8.898320227,7.917545133,1.275841423,0,10.23333207,9.415078356,7.023665655,0.360982241,11.85129618,2.396186896,10.0380822,3.294620749,0,0.649385529,0,0,13.32099793,13.63677187,9.930818635,4.424089007,8.935651269,11.89685459,5.024776212,2.316087802,3.252203696,13.69976763,4.636850794,10.75199588,10.12694963,11.10542404,8.61110597,8.226344753,5.556190275,6.089335008,7.222939769,8.960560941,2.801096559,4.262538394,0,2.316087802,4.747859985,10.03371206,10.99380879,9.933338051,9.411468617,8.107959813,5.896276693,8.992312419,3.525830848,8.065723087,12.32141799,11.33708107,13.38936246,10.53311555,12.10946504,7.956039223,3.755742179,1.435948565,8.366147332,8.657547119,2.316087802,0.649385529,4.262538394,10.80270214,2.544139137,0.360982241,5.074308474,9.578478366,2.141203877,4.906688604,6.805627807,3.628878557,10.33780028,4.283751424,3.019132551,0,0,9.024170056,0,0,1.095654417,0.649385529,10.95198403,7.497133304,12.20724011,10.82683446,10.07771032,9.15078305,14.8788125,13.37368083,1.580097233,2.544139137,0,0.649385529
PRAD,1.653885489,10.28626896,9.282453706,10.77334529,8.62001083,8.684667982,12.75831484,9.699397202,8.927914227,9.219422664,0,0,8.362110398,8.339337844,6.511398458,4.002513509,10.64654071,0.515409693,7.245153355,4.996144661,0,4.404651119,0,5.666949696,13.66610192,4.670953608,7.975853699,0,8.455064141,11.18125788,5.261346518,8.096182774,5.629901535,13.24721548,7.174016848,10.50452108,10.16309614,11.48987304,9.339026007,9.08216235,5.738308479,4.646433425,6.192470366,6.874784673,1.838427422,1.653885489,0.515409693,9.695668516,4.895675851,11.40897186,11.84272747,9.998449397,9.144783135,8.842780887,9.069535696,9.876562989,4.461993405,11.199022,11.35850286,10.6809045,13.62133075,8.803113999,11.03157026,7.546253977,3.324335386,1.442280035,8.358224812,8.985261328,1.442280035,1.194150106,8.158210778,9.440578524,1.442280035,0,4.787688424,8.304497352,3.881645044,4.936703889,7.224599858,6.183974741,9.287419194,4.695069569,1.838427422,0,0,6.798931835,0,0.894293934,0,0,10.21508398,8.83872491,12.52883012,9.778407367,10.62903781,9.271470031,14.73589973,12.04902489,5.339917683,4.314130936,0,2.895399573
KIRC,4.426814887,8.725202635,9.767702795,12.14308661,10.51898748,8.992224599,9.378804208,10.7340152,8.659917425,8.876562989,1.224966365,0,10.85076505,7.974741525,6.135910352,0,10.34000584,1.691176797,10.91380196,2.191152018,10.81729548,2.325530332,0,0,10.95941517,9.073265944,9.170233044,0,7.969622514,11.64659471,5.870668024,6.246022278,4.989248023,12.8924138,6.896574599,10.77092813,9.799087306,11.42052872,8.356650038,8.475255155,0.531867996,0.531867996,6.48017786,4.334196399,2.85630849,4.268965799,0,2.042924445,9.471415099,10.55892767,11.64499187,10.63799236,9.681818185,7.616725264,6.662661255,10.19992995,1.691176797,5.377495136,10.48797063,10.23397911,14.65931027,9.718926674,11.46648438,8.971874014,5.732331617,0,10.06713853,6.176582083,3.023840829,6.27122396,0.919683313,11.40898247,1.476796419,5.552149557,5.178742523,6.39102357,2.325530332,5.552149557,7.930607253,7.649126814,9.852243907,3.800030139,0,0,0,4.569090018,0,2.042924445,0,1.691176797,10.16898544,10.06052031,8.606460735,9.543000877,9.645337798,5.552149557,16.23452557,13.68236919,1.224966365,4.053467621,0,0
PRAD,1.053041807,9.624989142,9.796383608,11.97503112,9.064944809,7.52985998,9.98722137,11.46863931,9.213393459,9.612498103,0,0.835681584,10.03530774,8.705072478,13.89138501,8.93579563,11.13939147,1.481040556,7.783168506,6.204254206,2.196260806,4.004357565,1.810689873,5.646344135,12.23580184,5.528105556,10.31111253,0.441802155,8.395414174,11.35995267,10.74737061,9.413120146,5.505525765,13.02253427,9.11614379,10.91977209,9.994848394,11.39665294,8.379980447,8.514690387,6.190164442,5.070595412,7.874108399,8.075324041,2.825989096,1.053041807,0,7.069165094,4.744010358,10.41080112,11.38316966,10.33171193,9.817733566,8.1094128,6.338062448,9.604551376,7.885080123,10.02888681,10.8197959,10.46567863,14.24156613,9.248660539,12.0467932,7.893805097,2.964879142,3.208017755,9.446841379,8.222761099,2.751185182,0,6.168768378,10.98345682,2.588828548,8.733283153,7.57393494,8.799747872,6.245716218,5.604462791,8.778714535,7.490160945,9.332830987,5.116019513,7.09206998,0,0,9.064944809,0,5.901115485,0.779553903,0,10.00493672,10.15936681,12.98049128,10.45098438,10.45393935,7.885080123,16.52168631,13.12861465,6.880244716,4.536941874,0,5.216753617
BRCA,3.082174594,10.10767479,10.5339137,11.53114262,8.059814916,8.91626763,9.634153975,9.401986643,8.203475258,7.24039066,1.252839491,0,11.03847322,9.785622475,5.760162386,0,12.08288418,1.554048507,9.3931094,1.683920981,1.411317768,0.871764811,0,0,13.10018267,11.60243906,10.18101556,7.61486441,9.179849391,11.86042358,9.438679592,2.933383791,4.679176046,13.70748855,5.500164679,11.02800273,10.15849609,11.34914298,7.971940097,8.676034633,1.913147921,2.98469871,9.512116246,3.128540869,1.683920981,7.366663175,0,2.880176134,5.705306146,9.949269364,10.25179009,9.227897476,9.90573297,7.656996822,6.050577879,8.503134032,4.85494815,5.891611177,11.92404048,10.77230633,13.07621602,10.38608881,12.56856895,8.616273143,4.181961232,1.554048507,7.467067496,5.526378732,6.143832153,3.48994106,2.015390519,6.493027613,9.692713131,0.352306553,6.70294838,4.548843481,5.957315672,5.312066104,6.506259176,4.679176046,10.11129219,4.79870378,2.110864324,0,0,9.37639458,0,0,0,0,11.8257737,8.309171639,7.571464455,11.20562222,10.42869516,4.85494815,15.34577946,11.937028,3.969113643,5.569035317,0,0
PRAD,3.340277405,10.30888506,9.917758437,12.89042579,9.321831161,6.118104275,13.48954695,10.3199656,8.93663205,9.825396096,2.09085343,2.130041263,9.990756363,8.081760366,11.61283165,5.042110231,9.238636412,1.204140717,7.141381697,4.687950897,0,2.635986504,0,4.650988527,4.650988527,2.635986504,5.990766572,0,7.19372247,10.64240375,9.314463156,4.217533185,3.742857775,13.37689864,6.184272359,10.68873113,9.977766465,10.70741953,9.326233968,8.556697635,10.03087401,7.351796149,6.645348607,6.796844308,1.563646269,0.724213687,0,12.92421868,4.16606464,9.682812041,11.24849096,9.304084321,10.11045721,7.747219541,7.951022383,9.800298112,6.343329645,11.19372247,11.91200983,11.53570793,13.32880113,8.763471331,10.3882326,9.203967042,1.851199339,4.361761342,6.86298443,10.88154992,1.204140717,0,3.670829008,11.49390547,0,6.986809101,8.795578652,8.220668531,3.514993297,3.244278199,7.734025363,6.788359449,8.853665116,4.31526914,5.481679976,0,0,5.326242509,0,4.406801947,0,0.724213687,9.298119862,9.332083556,13.32127986,10.52857132,10.73692614,10.44601838,14.54649057,13.17771073,7.334416318,2.09085343,0,1.204140717
