Class,gene_18529,gene_13429,gene_18897,gene_3443,gene_6876,gene_7929,gene_11348,gene_14318,gene_12300,gene_15430,gene_5297,gene_14984,gene_19238,gene_11355,gene_11807,gene_14828,gene_15431,gene_4442,gene_10561,gene_1136,gene_978,gene_5237,gene_19874,gene_7573,gene_2865,gene_5020,gene_17769,gene_10983,gene_8971,gene_7752,gene_5047,gene_6535,gene_13574,gene_6552,gene_7432,gene_14752,gene_4316,gene_6222,gene_16407,gene_17205,gene_19269,gene_6593,gene_62,gene_17706,gene_12277,gene_11379,gene_8332,gene_17955,gene_17549,gene_14036,gene_4315,gene_10389,gene_5804,gene_8197,gene_11751,gene_15834,gene_6225,gene_10263,gene_11627,gene_19464,gene_10565,gene_6671,gene_1281,gene_10077,gene_6224,gene_5045,gene_3568,gene_14850,gene_14083,gene_3593,gene_16448,gene_503,gene_4539,gene_19536,gene_10572,gene_4997,gene_6909,gene_17121,gene_9057,gene_10388,gene_13486,gene_2862,gene_8847,gene_17399,gene_18475,gene_15305,gene_11867,gene_13049,gene_6467,gene_5040,gene_6784,gene_13721,gene_15972,gene_8725,gene_19663,gene_15467,gene_4066,gene_5660,gene_1588,gene_1589
PRAD,10.01696146,6.878308459,5.242606317,12.4566881,8.440399956,5.720549356,2.338338835,10.58273475,4.574222636,5.814550423,12.79641687,4.341409408,2.338338835,3.5422952,9.29193272,6.210047867,6.872077673,4.377061263,10.01907638,4.827127991,10.58892072,10.34747742,6.795104556,2.824951106,11.11740934,8.139367167,11.33450794,9.500252335,9.082508339,10.2831694,7.939279479,15.1570903,12.42084448,4.106767062,3.719369653,0,3.973381675,9.18033686,11.18445388,0,10.16067821,12.53718199,0,7.671449071,8.910723669,9.114541416,5.209769164,4.663543873,8.54204519,2.824951106,2.185898253,12.029339,2.602076748,11.62203351,7.609112236,9.644357439,6.258635753,3.47807874,9.505295505,13.12836977,6.454894758,1.334282225,9.486038555,1.010278567,6.454894758,5.939029064,8.207785504,7.631424458,2.924670008,7.107813388,5.278676183,9.570257988,9.474770638,5.649445889,7.927309825,10.57939137,10.5499194,6.535978276,4.852678063,10.33676316,10.77120057,2.185898253,1.598651048,8.40198451,0,10.52033385,9.367681205,3.01795753,0,3.667914827,10.73043617,9.659815767,1.598651048,6.808217705,1.334282225,6.775195436,10.69380055,6.053613151,6.008865566,2.476226133
LUAD,11.86285816,9.02068276,6.128159338,13.21353411,6.484408853,7.277845305,8.924634382,10.31026058,3.052102836,5.095979258,12.69751278,7.514532596,0.587845009,12.18634641,11.10598051,5.508425483,3.007679907,4.383393259,10.00946475,0.587845009,11.17837852,11.76083636,6.218108864,7.335149141,5.256471016,5.891268493,5.945268244,11.24672872,10.07586685,9.591843948,7.77691988,14.88214627,13.78808615,1.913339435,4.434628228,0,1.590817563,10.70312493,7.538157885,4.815816199,10.04459903,10.56311999,3.866146382,6.97737152,8.155895931,10.4292498,2.466601019,2.466601019,9.179933964,3.708540416,3.5930071,10.24401888,2.53081987,12.12308352,2.707856051,9.897126954,6.766913134,3.007679907,11.30769035,10.57196117,11.4846316,0,9.952744159,0,2.176737647,10.19643,11.50824046,8.949803371,5.434835027,9.516060467,6.631760565,10.90093472,8.628051776,8.080204618,8.811268715,10.70312493,9.297624765,4.841354257,8.262592889,10.14927715,9.157233233,2.707856051,0,7.967289673,0,10.24598046,9.29817257,4.763337207,2.25486611,6.738713802,1.32716997,10.34694581,1.32716997,8.850318128,2.094168495,8.287195225,12.78350781,8.22548703,10.33631687,8.643560407
PRAD,10.48997838,10.23642086,7.642268352,13.20766107,3.352235919,2.785738854,0,10.52791679,0,1.3068455,12.96729292,6.332613063,2.228018254,1.83975808,11.00620684,8.054994953,9.649635217,2.533663013,10.25089054,0.452595435,11.42558309,8.997165364,9.677169939,4.306932969,5.270020546,5.522187605,12.52050328,10.52250307,10.73953592,9.981624361,8.026733676,11.02086191,12.90315504,0,5.696330514,0,0,10.45631334,10.91910913,0,11.55737275,13.96265204,0.452595435,8.986723789,7.453665726,5.498866754,0,2.228018254,5.86999475,2.706508451,0.796597754,12.19680804,5.242198525,11.86530411,6.946496941,11.59995467,3.500521643,0,10.55007337,10.12705285,7.865120807,0,10.00561052,0,0,3.942167278,9.783541778,8.300695746,2.622672704,7.680507214,5.567061669,10.61997233,9.014745821,8.288847622,8.098316382,11.75903513,10.65105169,7.413687159,5.823815584,7.544740382,10.3649335,0.452595435,0,9.461872298,0,10.07823088,8.688627983,3.186960042,7.423258807,3.547203025,0,11.62002275,1.074162876,5.533709728,0,9.311852739,9.231883564,9.122636485,8.994042234,7.293453256
PRAD,10.2316532,8.223837613,5.924430109,14.70467099,5.967242401,7.368820721,2.058697469,10.50710087,8.00027048,4.419795048,13.62989161,7.143270957,1.039419183,4.965964322,10.35303652,5.610091725,3.573556306,3.342910255,10.36616919,0.768586635,11.48923082,10.73353229,8.166700383,3.979586391,10.12434106,9.450499894,11.34645279,10.86315639,10.50500763,10.63707766,9.401060829,12.76503948,13.68495677,2.478531813,3.696093997,0,1.039419183,12.72437103,9.745358359,0.434881719,11.24325135,13.70234587,0,8.676225088,7.150082355,9.130174121,0.768586635,4.965964322,8.624440906,2.80330971,1.637239266,10.15450169,3.184470737,12.52041979,4.949632977,10.89947777,5.804239461,1.464093165,10.77031701,10.5378105,9.658222196,0,10.84064419,0.434881719,3.485671549,3.485671549,8.578712331,8.499594788,3.696093997,7.080913438,3.772350208,10.69913863,9.046264585,7.069616248,8.333316386,11.55682694,10.50779464,6.349788101,6.434378028,10.51925292,10.0152896,1.464093165,5.310954444,9.0728963,0.434881719,10.3089078,8.736916001,9.666989094,4.316855327,3.153999844,9.130174121,10.79165944,2.058697469,8.148929022,0,8.468408182,11.07559948,9.943916932,7.110592927,5.218564205
BRCA,10.23333207,9.415078356,7.023665655,13.32099793,13.63677187,9.930818635,4.424089007,11.89685459,9.275800926,5.024776212,13.69976763,6.089335008,2.801096559,4.262538394,11.20936198,2.316087802,2.316087802,4.747859985,9.411468617,3.525830848,12.32141799,12.10946504,7.956039223,3.628878557,10.80270214,7.497133304,12.20724011,11.47774309,10.82683446,10.07771032,9.15078305,14.8788125,13.37368083,1.580097233,2.544139137,0,0.649385529,12.14004368,10.98796742,2.741035462,11.45557381,13.34350498,1.71114245,8.289313459,8.382031698,13.59634119,1.095654417,3.872346139,9.232823818,4.747859985,4.933780341,11.37658125,4.262538394,12.84876767,3.755742179,11.45425816,7.688215334,8.065723087,10.8297703,11.52373836,8.402722177,1.435948565,11.21713982,1.831269236,5.607561126,6.021508599,12.7756144,9.123102275,6.440458927,8.19450079,4.099379373,11.3872419,9.436544988,6.015183087,12.50428023,12.02194118,9.949603506,8.857346567,6.718745198,12.6047478,10.68108025,2.316087802,1.831269236,9.028889568,0.360982241,10.07048325,11.84213817,7.24474438,3.897608314,2.257252053,2.967629753,11.40927424,3.294620749,8.124219557,0.649385529,8.790381081,15.00227443,11.99396089,8.689687042,7.003984446
PRAD,8.362110398,8.339337844,6.511398458,13.66610192,4.670953608,7.975853699,0,11.18125788,7.784026234,5.261346518,13.24721548,4.646433425,1.838427422,1.653885489,10.7761698,9.695668516,8.096182774,4.895675851,9.144783135,4.461993405,11.35850286,11.03157026,7.546253977,6.242415774,9.440578524,8.83872491,12.52883012,10.07510472,9.778407367,10.62903781,9.271470031,14.73589973,12.04902489,5.339917683,4.314130936,0,2.895399573,12.11586623,11.233386,0.515409693,11.06607573,13.2951519,0.515409693,8.288736906,6.485845406,10.93679251,7.228732126,3.195032565,10.70411114,5.629901535,4.809939152,12.55575146,2.976345304,12.61785082,4.183867583,10.87513498,8.363990159,3.195032565,10.60020098,12.47609811,10.52273844,0,10.68466973,0.894293934,5.499048598,4.670953608,7.82558213,8.483029738,5.591876853,7.752775347,6.411604199,11.11157911,11.05418373,6.274777882,8.621586713,10.18826739,10.29467818,7.099189986,5.443192215,10.75875621,10.09336474,1.442280035,0,9.136001643,0,10.13251258,10.86245914,5.828273605,3.354325207,0.910886132,8.153871188,10.68955252,4.114033801,8.629425839,2.148934105,8.1230971,13.14533514,4.765083834,7.186827361,4.183867583
KIRC,10.85076505,7.974741525,6.135910352,10.95941517,9.073265944,9.170233044,0,11.64659471,4.301946081,5.870668024,12.8924138,0.531867996,2.85630849,4.268965799,10.576985,2.042924445,6.246022278,9.471415099,9.681818185,1.691176797,10.48797063,11.46648438,8.971874014,5.848512778,11.40898247,10.06052031,8.606460735,10.09151473,9.543000877,9.645337798,5.552149557,16.23452557,13.68236919,1.224966365,4.053467621,0,0,11.77767861,12.6463697,0.531867996,10.69031233,2.561717157,5.124460486,9.213128528,8.918374307,8.962878658,3.932306893,4.569090018,11.70825191,7.093105882,4.513850743,12.2750478,3.932306893,11.29201097,3.973831658,10.23504489,9.339631801,5.281538766,11.29713409,13.41266246,10.62949323,0,10.76613961,0,6.778510859,6.220372523,10.8247599,8.507425992,7.783646539,6.944366534,6.149655678,9.106316909,10.86566369,4.88426578,9.921531542,9.901495963,8.93160624,7.586929836,6.522771394,13.5847629,11.23231299,3.023840829,0,9.572023716,2.561717157,10.43645129,12.64297001,4.622292005,4.028463068,8.736875423,6.656300432,11.15684784,3.173926932,9.255838235,0,9.61776681,12.86258312,7.000698636,6.122217146,3.800030139
PRAD,10.03530774,8.705072478,13.89138501,12.23580184,5.528105556,10.31111253,0.441802155,11.35995267,8.057970069,10.74737061,13.02253427,5.070595412,2.825989096,1.053041807,10.6653981,7.069165094,9.413120146,4.744010358,9.817733566,7.885080123,10.8197959,12.0467932,7.893805097,7.93663205,10.98345682,10.15936681,12.98049128,10.62177717,10.45098438,10.45393935,7.885080123,16.52168631,13.12861465,6.880244716,4.536941874,0,5.216753617,10.70247574,10.93358001,0,11.20589097,12.20842947,0.441802155,8.649518462,10.79929781,11.89069368,6.7470248,3.366769817,11.7037522,5.866094441,3.597781434,12.68440675,2.751185182,12.05811014,13.22780544,10.58119116,10.11996565,7.122072161,10.68311744,12.10027468,9.439415361,2.078848898,10.74647233,1.053041807,8.048241636,1.9509909,8.373761298,9.512007573,7.07683697,8.162698467,7.512922146,10.28565652,9.509881867,6.662817888,8.08677846,10.91014051,10.01196798,7.180247337,5.993255439,12.14980109,11.57869818,2.751185182,2.304861451,8.196567703,0,10.85510985,11.98893316,5.593798942,4.444527932,1.29971356,9.734623259,10.21086612,5.447480016,9.297122619,2.825989096,9.728542993,14.76500632,6.32522629,6.43683478,3.759187799
BRCA,11.03847322,9.785622475,5.760162386,13.10018267,11.60243906,10.18101556,7.61486441,11.86042358,5.011611923,9.438679592,13.70748855,2.98469871,1.683920981,7.366663175,11.09339115,2.880176134,2.933383791,5.705306146,9.90573297,4.85494815,11.92404048,12.56856895,8.616273143,5.577419764,6.493027613,8.309171639,7.571464455,12.03946058,11.20562222,10.42869516,4.85494815,15.34577946,11.937028,3.969113643,5.569035317,0,0,12.43714866,11.33869739,2.200410188,12.52122009,5.072182994,4.091217445,9.109344887,9.825855573,13.21304497,0,4.019203734,10.15919018,5.491320804,6.725754787,10.393798,4.755037107,14.27706941,5.610469751,11.0981308,7.981447409,1.913147921,11.24150058,11.46166361,9.611373437,0,11.53638808,3.719347747,4.909081827,7.334881078,9.380590934,9.732194566,7.90358665,8.97542097,3.773468928,11.68378416,9.806720383,8.847843487,10.4071084,11.96235019,9.995654105,7.202956379,8.188504779,12.58542031,10.61809179,6.143832153,0,7.9185055,3.300416628,10.2654744,12.09777538,9.120141954,7.744181282,3.615074888,2.645217451,12.65680694,3.259332755,9.210488713,0,11.42047082,14.60102209,11.31210582,9.126539289,9.000571893
PRAD,9.990756363,8.081760366,11.61283165,4.650988527,2.635986504,5.990766572,0,10.64240375,5.229272587,9.314463156,13.37689864,7.351796149,1.563646269,0.724213687,10.69555891,12.92421868,4.217533185,4.16606464,10.11045721,6.343329645,11.91200983,10.3882326,9.203967042,2.779890039,11.49390547,9.332083556,13.32127986,11.24810547,10.52857132,10.73692614,10.44601838,14.54649057,13.17771073,7.334416318,2.09085343,0,1.204140717,13.34415718,10.61388153,0,11.29415547,14.30475772,0.724213687,8.477102531,9.474906481,10.8015952,7.920287345,2.779890039,9.853120823,4.217533185,9.356683047,11.80100503,3.141432791,12.14418343,11.52648946,11.22627972,7.073166846,2.296310561,11.30906133,11.38276991,9.668955877,1.851199339,10.96391478,0,5.563518149,4.112691793,8.503261268,9.187928541,5.563518149,7.467923397,3.876949076,11.02522955,10.7984313,6.247540212,8.743858259,10.78729859,11.28664439,7.41378869,4.827000927,10.45475167,11.28626896,1.204140717,2.296310561,9.133699656,0,11.14678503,10.45183958,4.891803141,6.252854626,2.509543838,9.652687254,10.93969674,1.851199339,9.624364136,3.030689204,8.554197429,13.08093908,10.49897881,6.507407756,4.112691793
